Company,Job Title,Location,job Description
QS Quacquarelli Symonds,Client Relations Executive,Bengaluru,"About QS
QS is the world’s leading provider of services, analytics, insights, and intelligence to the global higher education sector - supporting university excellence across the world. Our student recruitment and enrolment solutions enable universities and business schools to connect with talented individuals seeking to further their academic progress and career development. Our portfolio of professional services includes consultancy, student mobility and academic partnerships management, and branding solutions. We publish highly visible and influential rankings of international universities, including the QS World University Rankings® which reaches a global audience of hundreds of millions of people.

Founded in 1990, our activities span across 50 countries, working with over 2000 of the world’s leading higher education institutions and over 12,000 employers.

Headquartered in London, QS has over 650 employees globally with offices in 14 different countries, including Australia, Malaysia, India, Romania, Singapore, France, Germany, and the USA. QS keeps growing organically, through acquisition and by recruiting top talent across key regions.

What inspires us?
At QS, our culture fosters a flexible working environment that encourages our employees to own their career whilst personally and professionally thriving. We collaborate, respect, and support each other – and as a company, our values underpin these.

Our mission is to empower motivated people around the world to fulfil their potential through higher education, and to ensure everyone has the same opportunity to achieve that potential. We celebrate the diversity of our teams and believe through sharing our experiences we can learn from one another and become stronger together, which enables us to achieve our goal.

At QS, you’ll be responsible for implementing real change in the international higher education landscape, full of exciting and interesting challenges where you can drive positive impact across the business.

The role
As Sales Support Associate, this candidate will manage the support services the AMESA team. This is a critical role that will aid the business reach its sales projections by providing all the support that is required to reduce paperwork and administrative functions for the team, enabling them to focus fully on closing deals during the key periods during the year. Besides sales support, the candidate will also act as a customer success specialist and ensure that the client is serviced regularly, and the relevant teams are in touch.

Role responsibilities:
Provide sales and backend administrative support to the regional director and sales/business development team;
Updating and maintaining the opportunity pipeline and proactively following up with the sales team and clients for faster closers;
Researching for prospects/contacts from the internet, magazines, newspapers or other sources on a regular basis;
Preparing proposals, quotations and booking forms for prospective clients and ensuring follow;
Provide customer service for booked orders and ensure that delivery teams are reaching out for optimal customer support;
Research market intelligence in the region for competitor reporting, institutional insight, government regulations and updates etc;
Extending administrative, travel and any other related support to meet the business needs;
And any other additional duties as required

Key skills and experience:
Degree in any business discipline
Good attention to detail, co-ordination, communication and time management skills· Proficient in the Microsoft Suite (Word, Excel and Powerpoint)
Flexible with business travel from time to time
Able to multi-task, is confident and resourceful
Ability to work under pressure and deliver under tight deadlines
Excellent command over written and spoken English

QS Quacquarelli Symonds is proud to be a fair and equal organisation where everyone has the same opportunity to achieve their full potential, irrespective of their background or personal attributes. We celebrate our diversity and believe through sharing our experiences we can learn from one another, be stronger together, and enable our business to thrive."
Champion Infometrics Pvt. Ltd.,Lead Generation Executive,Bengaluru,"US Shift opportunity | Work from Office | Bangalore
Responsibilities :
Email list building
Sourcing key decision makers of companies from IT/Healthcare industries from LinkedIn -Generate Leads
The work involves selling contact lists of specific industries to the Businesses (B2B)
Usage of sales navigator -Exposure on any data tools such as Apolo.io, Seamless, datanyze etc. is an added advantage.
Basic Skills Required: -
Should have excellent communication skills as work involves talking to people in USA.
Experience in talking to US Customers over phone is a plus and will be given preference.
General Skill on drafting the emails to clients -Is able to work under tight deadlines.
Other Details:
-Experience: 1 to 4 Years -Freshers can also apply
-Package: 25,000 plus incentives
-Shift Timings: Night shift 6:30 PM to 4:30 AM
-St No. 91, 92, Sarjapur - Marathahalli Rd, Carmelaram, Ambedkar Nagar, Chikkabellandur, Bengaluru, Karnataka 560035.
If shortlisted, the candidate has to attend the final round of interview at Bangalore Office.
Job Type: Permanent
Pay: ₹23,000.00 - ₹25,000.00 per month
Benefits:
Food provided
Health insurance
Leave encashment
Provident Fund
Schedule:
Monday to Friday
Night shift
Supplemental pay types:
Performance bonus
Ability to commute/relocate:
Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Preferred)
Experience:
Customer acquisition: 1 year (Required)
Language:
English fluently (Required)
Shift availability:
Night Shift (Preferred)
Overnight Shift (Preferred)"
Lilly,"Associate, Monitoring Oversight",Bengaluru,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
Purpose:
The purpose of the Associate, Monitoring Oversight role is to be an advocate for monitoring oversight who works with the Clinical Design, Delivery & Analytics (CDDA), the Medicines Quality Organization (MQO) and Investigator Engagement (IE) to ensure that Lilly has appropriate oversight of clinical trial site monitoring activities outsourced to Third Party Organizations (TPOs).
Primary Responsibilities: This job description is intended to provide a general overview of the job requirements at the time it was prepared. The job requirements of any position may change over time and may include additional responsibilities not specifically described in the job description. Consult with your supervision regarding your actual job responsibilities and any related duties that may be required for the position.
Conduct Monitoring Visit Report Reviews (MVRRs)
Collate output from multiple data sources and conduct site risk assessments
Identify sites to be selected for MVRRs based on a predefined set of risk criteria
Prepare documentation for MVRR review
Review a sampling of Monitoring Visit Reports (MVRs) produced by TPO Clinical Research Associates (CRAs) following the conduct of monitoring visits at clinical trial sites
Identify any MVR issues, gaps and required next steps and document this information in a MVRR Checklist
Record identified MVR issues in the Clinical Trial Management System
Follow-up with TPO CRA to ensure that any required follow-up actions are completed in a timely manner
Communicate key detected issues and required next steps to the CRL and/or CDTL for the trial
Responsible for Inspection Readiness activities in relation to the MO process
Escalate Significant Identified Monitoring Oversight Issues
Communicate significant monitoring oversight issues detected during MVRRs to the CRL and/or CDTL for the trial
Follow-up as needed with the CRA, TPO Management and Lilly Study Teams to discuss the steps required to resolve the detected significant monitoring oversight issues
Identify Monitoring Oversight Trends
Identify and track any monitoring oversight trends that are occurring across sites monitored by the same CRA or across multiple sites or studies monitored by the same TPO
Discuss any detected monitoring oversight trend(s) with the Monitoring Oversight Business Lead and Medical Quality to determine the next steps required to address the trend(s)

MVRR Performance Metrics and Process Metrics
Identify and track relevant monitoring data to support monitoring oversight of MVRRs
Follow-up as needed with Lilly Site Engagement and TPO management to discuss the steps required to resolve the detected MVRR performance metrics and process metric issues
Minimum Qualification Requirements:
Bachelor’s Degree in a science, technology or medically-related field or equivalent relevant work experience
At least 2-3 years of clinical research related experience
Knowledge of Good Clinical Practices (GCP) Principles
Proficient written and spoken English language skills
Effective verbal communication
Other Information/Additional Preferences:
Ability to work independently and as part of a team
Previous on-site/remote CRA or monitoring report review experience
Effective organization/self-management skills
Excellent problem-solving skills and initiative
Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.
Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.
#WeAreLilly"
Briskon Technologies Pvt. Ltd,SEO Specialist 3-5 yrs,India,"Company Overview
Founded in 2005, Briskon is a software application development, mobile apps development, web development, and digital marketing company operating from Bangalore India, and Dallas, Texas USA.
Briskon is a highly process-driven organization with extensive experience working with great companies. The young and vibrant team of Briskon consists of highly skilled managers, analysts, programmers, marketers, designers, developers, and QA personnel, working together we deliver world-class quality products and solutions. Our unfailing commitment to quality and continuous learning to stay abreast of the latest technologies enables us to consistently deliver customer delight.
We are one of the top design agencies known for its creativity and innovation in serving a diverse clientele, both domestic and international. Our specialization lies in the development of engaging websites, captivating user interfaces (UI), exceptional user experiences (UX), and effective marketing collateral.
For more information, kindly visit https://www.briskon.com
Position Overview
We are seeking a highly motivated and results-driven Senior SEO Specialist to join
our dynamic marketing team. The ideal candidate will be responsible for implementing and
managing the overall SEO strategy for our organization. This role encompasses a range of
activities including on-page, off-page, and technical SEO, content marketing, keyword
research, link building, communication, competitor analysis, critical thinking, and, optionally,
content writing.
Key Responsibilities
1. On-Page, Off-Page, and Technical SEO:
ü Conduct comprehensive on-page and technical SEO audits to identify opportunities for optimization.
ü Implement on-page SEO best practices to improve website performance in search engine results.
ü Execute off-page strategies to build high-quality backlinks and enhance domain authority.
2. Content Marketing:
ü Collaborate with the content team to align content strategy with SEO objectives.
ü Develop and implement content marketing initiatives that drive organic traffic and
engagement.
3. Keyword Research:
ü Conduct thorough keyword research to identify relevant and high-performing keywords.
ü Optimize content for target keywords to improve organic search visibility.
4. Link Building:
ü Create and execute effective link-building strategies to enhance the website's backlink profile.
ü Identify and pursue link-building opportunities through outreach and relationship-building.
5. Communication:
ü Collaborate with cross-functional teams to communicate SEO requirements and
opportunities.
ü Provide regular updates on SEO performance and initiatives to stakeholders.
6. Competitor Analysis:
ü Conduct competitive analysis to identify trends, gaps, and opportunities in the market.
ü Utilize competitor insights to refine and improve our SEO strategies.
7. Critical Thinking:
ü Analyze data and trends to make informed decisions and adjustments to the SEO strategy.
ü Identify potential challenges and proactively develop solutions to overcome them.
8. Content Writing (Optional):
ü Create SEO-friendly content when needed, ensuring alignment with the overall content
strategy.
9. Strategy & Research:
ü Develop and execute comprehensive SEO strategies aligned with business goals.
ü Stay updated on industry trends, algorithm changes, and emerging SEO best practices.
10. Analytics Reasoning & Decision Making:
ü Utilize analytics tools to track, measure, and report on key SEO metrics.
ü Make data-driven decisions to optimize and improve the effectiveness of SEO.
Mandatory Skills
ü Proven SEO and SEM experience, including PPC campaign management across Google, Yahoo, and Bing.
ü Strong understanding of performance marketing, conversion optimization, and online customer acquisition.
ü In-depth experience with website analytics tools such as Google Analytics, Net Insight, Omniture, and Web Trends.
ü Should have experience in handling the team.
ü Familiarity with bid management tools like Click Equations, Marin, Kenshoo, and Search Ignite.
ü Proficiency in conducting A/B and multivariate experiments.
ü Working knowledge of HTML, CSS, and JavaScript development and constraints.
ü Deep knowledge of ranking factors and search engine algorithms.
ü Stay up-to-date with the latest trends and best practices in SEO and SEM.
Required Soft Skills:
1. Communication Skills:
ü Team Collaboration: Effective collaboration with cross-functional teams, including content creators, developers, and marketing professionals.
2. Leadership and Mentorship:
ü Team Leadership: For senior roles, the ability to lead and mentor junior members of the SEO team.
ü Project Management: Leadership in planning and executing comprehensive SEO strategies and projects.
3. Analytical Thinking:
ü Data Analysis: Proficiency in analyzing data from various SEO tools to derive actionable insights and make informed decisions.
ü Problem-solving: Ability to identify and solve complex SEO challenges and roadblocks.
4. Adaptability:
ü Flexibility: Given the dynamic nature of SEO, being open to adapting strategies to accommodate changes in search engine algorithms and industry trends.
ü Continuous Learning: Willingness to stay updated on the latest SEO trends and technologies.
5. Negotiation Skills:
ü Stakeholder Alignment: Negotiating and aligning SEO strategies with the goals and expectations of various stakeholders within the organization.
6. Time Management:
ü Project Prioritization: Ability to prioritize tasks and projects based on their impact on overall SEO goals and business objectives.
ü Efficient Task Execution: Managing time effectively to meet deadlines and deliver results.
7. Interpersonal Skills:
ü Empathy: Understanding the perspectives and needs of clients, team members, and other stakeholders.
ü Conflict Resolution: Resolving conflicts and issues that may arise during the course of projects.
8. Creativity:
ü Innovative Thinking: Applying creative thinking to overcome challenges and develop unique strategies that set the SEO efforts apart.
9. Networking:
ü Industry Networking: Building and maintaining a network within the SEO and digital marketing industry to stay informed about best practices and trends.
10. Client Education:
ü Educational Communication: Educating clients on SEO principles and best practices to foster collaboration and understanding
Benefits
ü Competitive salary based on experience and skills.
ü Ensuring work-life balance for employees.
ü Opportunities for professional growth and development.
ü A collaborative and creatively stimulating work environment.
ü Access to the latest design tools and technologies.
ü The chance to work with a diverse range of domestic and international clients.
If you are an exceptionally passionate, innovative, fast learner and experienced Senior SEO Specialist keen to embark on an exciting journey working on innovative projects, please submit your portfolio and resume to careers@briskon.com
Join our team in Bangalore and contribute to our mission of delivering extraordinary SEO solutions to our clients.
Job Type: Full-time
Pay: ₹500,000.00 - ₹800,000.00 per year
Benefits:
Paid sick time
Paid time off
Schedule:
Day shift
Monday to Friday
Supplemental pay types:
Performance bonus
Ability to commute/relocate:
HBR Layout, Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Experience:
total work: 4 years (Preferred)
Location:
HBR Layout, Bengaluru, Karnataka (Preferred)
Shift availability:
Day Shift (Preferred)
Work Location: In person"
Prayasta 3D Inventions Pvt Ltd,3D Model Maker,India,"3D Model Maker
Position
Remuneration
Salary can be negotiable with candidates having prior work experience in the same or similar field as per the industry standard.
For 0-1 years of Job Experience: INR 10000 - 15000 per month.
For 2+ years of Job Experience: INR 25000 – 35000 per month.
About Prayasta
Founded in 2017 in Bangalore, Prayasta operates on the principle of tailoring implants to individuals rather than requiring individuals to conform to standardized implant sizes. In pursuit of this vision, Prayasta has pioneered the world's first 3D printer capable of producing ""implant-grade"" silicone, facilitating the creation of a diverse array of soft-tissue implants.
Prayasta has received support through various grants, including those from the Department of Science & Technology (DST), Biotechnology Industry Research Assistance Council (BIRAC), Ministry of MSME (MoMSME), Ministry of Electronics and Information Technology (MEITY), Start-up Karnataka, and the National Research Development Corporation (NRDC). The company has also earned acclaim, being honored with the National Start-up Technology Award 2022 from the Technology Development Board (TDB) and securing patents in both India and the USA for its pioneering technology.
Comprising a dynamic and motivated team of engineers, scientists, and entrepreneurs, Prayasta is dedicated to developing globally outstanding products that make a positive impact on society.
Summary
We are seeking a skilled 3D Model Maker, who will specialize in creating detailed anatomical models that could be from patient-specific medical imaging data. These models could be used by surgical teams to plan and practice complex surgical procedures. The role is crucial in enhancing surgical outcomes by providing accurate and tangible references that aid in surgical planning and simulation. This role is vital in the intersection of technology and healthcare, providing essential support that enhances the efficacy and safety of surgical procedures. This position not only demands technical expertise but also the ability to work closely with medical professionals to tailor models that meet specific surgical needs.
Key Responsibilities
1.
Model Creation: Use 3D modelling software to convert medical imaging data (such as MRI and CT scans) into detailed 3D models.
2.
3D Printing: Operate and maintain 3D printers to create physical replicas of anatomical structures using various materials.
3.
Quality Control: Ensure that all models are accurate to the medical imaging and meet the required specifications set forth by the medical team.
4.
Collaboration: Work closely with surgeons, radiologists, and other healthcare professionals to understand their needs and adjust models accordingly.
5.
Innovation: Stay updated with the latest technologies in 3D printing and modeling software to improve model accuracy and functionality.
6.
Documentation: Maintain detailed records of all models created, including specifications, materials used, and feedback from medical professionals.
7.
Education and Training: Occasionally participate in workshops or training sessions to demonstrate the use of models in surgical planning and to educate medical staff about the technology.
Requirements
Bachelor’s degree in Chemistry, Biomedical Engineering, Mechanical Engineering, or a related field.
Preference will be given to the candidate(s) with excellent written and spoken English.
Must have a keen eye for detail to accurately translate medical imaging into physical models.
Effective communication skills are crucial for collaborating with medical professionals and understanding their requirements.
Ability to troubleshoot issues with 3D printers or software and find practical solutions to meet the needs of the medical team.
Familiarity with relevant industry standards and regulations.
Preferred Skills:
Advanced proficiency in SolidWorks and other CAD software and hands-on experience with 3D printing technology.
Experience with design for manufacturability and Quality Management System.
Previous experience in a medical, dental, or healthcare setting is highly desirable. Experience in working with medical imaging data is preferred.
Familiarity with project management methodologies.
Date of Joining
Immediately
Location/Place of Work
Candidate will primarily be working in Vidyaranyapura & Mathikere, Bengaluru.
S/He should be open to:
o
Travel within Bengaluru for work
o
Work in rotational day/night shifts depending upon the need of the project.
How to Apply
Interested candidates should send their detailed CV along with a cover letter to careers@prayasta.com at the earliest.
Selection Process
Applications will be screened based on their qualification and preferences. Only selected candidates will be interviewed in-person or through a video conference call.
Job Type: Full-time
Pay: ₹10,000.00 - ₹35,000.00 per month
Schedule:
Morning shift
Supplemental pay types:
Performance bonus
Experience:
total work: 1 year (Preferred)
Work Location: In person"
QS Quacquarelli Symonds,Team Leader- ROW,Bengaluru,"Role:Team leader (ROW Portfolio)
Location: Bangalore, Mumbai and Chennai- India
Job type: Full time, permanent – hybrid

Why QS?
At QS, our culture fosters a flexible working environment that encourages our employees to own their career whilst personally and professionally thriving. We collaborate, respect and support each other – and as a company, our values underpin these.

Our mission is to empower motivated people around the world to fulfil their potential through higher education, and to ensure everyone has the same opportunity to achieve that potential. We celebrate the diversity of our teams and believe through sharing our experiences we can learn from one another and become stronger together, which enables us to achieve our goal.

At QS, you’ll be responsible for implementing real change in the international higher education landscape, full of exciting and interesting challenges where you can drive positive impact across the business.

The role
The successful candidate will be a proven self-starter with the ability to work across multiple channels to support student enrolments to QS partner institutions. The role will focus on lead qualification, supporting students and parents, agency partners, K12 counsellors and other institutional partners seeking to work with the QS expert enrolment services team to support their requirements. Most importantly, the successful candidate will believe in our mission of enabling motivated students to access the best education options around the world.
At QS, we will count on our regional leaders to solve complex business challenges with creativity and enthusiasm, always looking to learn something new.
The successful candidate will also be instrumental in creating future strategic plans with the goal of boosting revenue streams across the B2B & B2C channels.

Role responsibilities:
Build and manage a team of Partnerships Managers, Enrolment Managers and Enrolment Specialists to engage, counsel, and serve students, parents and partners across India; and in doing so, provide a comprehensive set of end-to-end services as required by them such as career counselling, program shortlisting, application management, visa and any other ensuing university enrolment support.
Collaborate with the executive team members to develop and execute the regional strategic plan to drive multi-channel adoption and target achievement.
Be primarily responsible for building and managing a successful ROW recruitment team in India.
Proactively source, train and onboard high quality education agency partners, K12, language school and college partners across India to become QS higher education partners.
Ensure terms of contracts are clearly defined and adhered too across the B2B channel.
Monitor and manage the student application pipelines across the B2B and B2C channels and adjusting strategies as necessary to achieve conversion and consequent revenue goals.
Being agile, student and partner focused, making support an amazing experience for them, is of uppermost importance.
Present reports on channel performance, provide clear recommendations based on analysis, and work with the leadership teams to contribute to the QS overall growth strategy across India as a whole.
Collaborate with content and design teams to produce collateral and other materials that partners, and internal teams can leverage for their sales efforts
Collaborate with product, engineering, and marketing on enhancing user experience as well as the partner and student journey within the product.
Provide leadership to the India ROW team, oversee timely resolution of escalations, and create an environment that attracts talented people to support future growth and expansion.
Supporting QS online or offline events in the region from ideation to execution

Key skills and experience:
Managerial experience in sales and customer service within the international higher education space.
Expertise in B2B partner management, universities, admissions requirements, and visa processes for major study destinations (UK, EU, Australia)
Experience working with an educational agency and/or international institutions and/or an Ed tech company is a plus
Leadership experience managing diverse teams
Experience delivering high levels of customer service to B2B partners and students
Knowledge of the international education industry, local high school networks, local universities, and education agents in your territory.
So, who are we and what do we do?

QS is the world’s leading provider of services, analytics, insights, and intelligence to the global higher education sector - supporting university excellence across the world. Our student recruitment and enrolment solutions enable universities and business schools to connect with talented individuals seeking to further their academic progress and career development. Our portfolio of professional services includes consultancy, student mobility and academic partnerships management, and branding solutions. We publish highly visible and influential rankings of international universities, including the QS World University Rankings® which reaches a global audience of hundreds of millions of people.

Founded in 1990, our activities span across 50 countries, working with over 2000 of the world’s leading higher education institutions and over 12,000 employers.

Headquartered in London, QS has over 750 employees globally with offices in Australia, Malaysia, India, Romania, Singapore, France, Germany, and the USA. QS keeps growing organically, through acquisition and by recruiting top talent across key regions.

We take investing in our people very seriously.

As standard you will have:

Competitive base salary
Access to an annual bonus scheme (for qualifying roles only)
21 days annual leave – increasing to 23 days after 5 years’ service + 8 days casual leave
14 days holiday for the year 2023
Enhanced maternity and paternity leave
Access to Provident Fund and Pension Fund Scheme
Group Medical Insurance
A vibrant social environment and multicultural and multinational culture

But that’s not all. Outside of these standard benefits we also offer resources to allow professional growth, and wellness initiatives to nurture a healthy mindset:

Free subscription to the Calm App – the #1 app for sleep, meditation, and relaxation
A focus on welfare which is led by our global wellness team, with mental health first aiders globally
EAP (Employee Assistance Program) Service - dedicated services for enhanced EAP and comprehensive wellness with 24/7 helpline available through Truworth Wellness
Access to a variety of diversity and inclusion initiatives and groups
Strong recognition and reward programs – including a peer-to-peer recognition platform, quarterly and annual QS Applaud Awards, Connect with your Career annual PD event
Support for volunteering and study leave
Free subscription to LinkedIn learning – with over 5000 courses and programmes at your fingertips
Options to join our outstanding global Mentorship programme

Like what you’ve heard? Great, apply now!

As a candidate, we know the application and interview process can be daunting and so it’s important that you have a great experience with us. Our dedicated Talent Team will work hard to ensure you are fully informed at all stages and you are really excited by this opportunity to do meaningful work in the education space."
MarketStar,Lead Generation Specialist,Bengaluru,"If you are a current employee who is interested in applying to this position, please navigate to the internal
Careers
site to apply.
Role: Lead Generation Specialist
Experience: 1+ Years.
Location: Bangalore (Remote).
About MarketStar:
In everything we do, we believe in creating growth, for our clients, our employees, and our community. For the past 35+ years, we have been generating revenue for the most innovative tech companies across the globe through our outsourced B2B demand, sales, customer success, and revenue operations solutions. We are passionate about cultivating career advancements for our people, and support them through mentorship, leadership, and career-development programs. We provide service and support to our communities through the MarketStar Foundation.

Our exceptional team is the cornerstone of MarketStar's accomplishments. We are proud of our award-winning workplace culture and to be named a top employer in our industry. These achievements are a testament to our six core values, embraced by our 3,000+ employees worldwide. From our headquarters in Utah, USA, to our global offices in India, Ireland, Bulgaria, Mexico, the Philippines, and Australia, we all work together to drive innovation and success.
We are excited to have you apply to join our MarketStar team and can’t wait to discuss how we can help you find growth!

About the Position:
As an Lead Generation Specialist, you will support fellow enablement team members in driving pipeline and sales success with a global focus.
You will enjoy a high level of autonomy and have an opportunity to drive different sales strategies, to accelerate days to win and overall sales delivery.

What will you do?
Utilize and master sales tech tools such as Sales Navigator, Crunchbase, LinkedIn and other prospecting tools.
Identify target accounts and their candidates and personas, providing key insights into wider sales team.
Create and manage large databases of sourced accounts and candidates, tracking progress.
Maintain good and clear communication and be open to feedback when engaging with the wider team.
Seek enhancement opportunities to drive higher quality conversions on identified leads.

Skills & Qualifications:
Proficient in English, both written and verbal, with strong communication skills.
Must be detail-oriented, a self-starter and able to research, learn and work independently in a dynamic environment.
Ability to report and drive to meet objectives while fostering strategic relationships with key team members and management team.
Proficient use of Microsoft Office Suite (especially Outlook and Excel).
Eager to learn and master new prospecting tools proactively.
Being a creative problem solver.
Experience working in multinational and multicultural environments a plus.
What’s in it for you?
We are a rapidly growing organization with opportunities across the globe.
We believe in continuous learning and encourage our teams to do so through training programs that are catered to personal and professional development.
We are a people-first organization with policies and process that help you bring the best version of yourself into work.
If you’re up for this job, go on and hit the “Apply Now” button!"
314E Corporation,Onboarding Specialist,India,"We are a full-service healthcare IT firm headquartered in Silicon Valley, USA. We provide a spectrum of IT services to the entire healthcare value chain including producers, purchasers, providers, and payers.
We are looking for an Onboarding Specialist
The task would include:
1. Collecting documents
2. Working with 3rd party agency for background checks
3. BGV
4. US recruitment
5. Document collection
This requirement is a Remote opportunity.
work Timings: 6:30 PM- 3:30 AM IST
Job Type: Full-time
Pay: ₹400,000.00 per year
Schedule:
Evening shift
Night shift
US shift
Application Question(s):
How many years have you worked in your current company?
How many years worked as an Onboarding Specialist?
Do you have experience in US recruitment?
Experience:
total work: 2 years (Required)
Work Location: In person
Expected Start Date: 10/04/2024"
Yashram Lifestyle Brands Pvt. Ltd.,Brand Manager,Bengaluru,"About Our Company
At Yashram Lifestyle Brands, we are inspired to solve real life vulnerabilities faced by people. Our brands, products, innovations and inventions are all a result of our passion in improving quality of life. Our invention 'Period Panty' dates back to 2007 and is patented in India & USA. Our unique products have earned us satisfied customers across the globe.
We are in a high growth phase and building a team that works with high integrity, ownership and a never-give-up attitude.
Our brands:
Morph (www.morphmaternity.com)
Morph is India's most loved maternity and nursing wear brand. We continuously innovate in this space for the comfort and safety of new mothers.
Adira (www.myadira.com)
Adira is a fun and practical intimate brand for girls, teens and ladies with innovations. To name a few, are India & USA Patented period panties, support bras for growing girls and more.
Pristine-Life (www.pristine-life.com)
Incontinence Underwear For people who suffer from light urine leakage problems.
How To Tell Your Child (www.howtotellyourchild.com)
How To Tell Your Child, is a social initiative of Yashram Brands where we help parents, schools & communities fight child sexual abuse.
We are looking for an Individual Brand Manager to develop a brand strategy for our esteemed company. Candidate should oversee a wide array of business functions including branding, communication channels, product development, online and offline promotions, and market research.
Job Description:
Establishing the brand visibility and fuelling its recognition - the candidate will be accountable to lead marketing campaigns, understanding the brand well, and integrating the brand communication across all channels
Developing brand-building/activation plan and driving NPD processes to deliver new products.
Translate brand elements into plans and go-to-market strategies
Align the company around the brand's direction, choices and tactics
Create marketing campaigns and promotional activities to highlight brand collaborations.
Maintain strong relationships with clothing brand partners and ensure open communication.
Stay up-to-date with industry trends and emerging brands to identify potential opportunities.
· Assist in identifying and researching potential influencers.
· Assist in content collaboration, ensuring it aligns with brand guidelines.
· Help with tracking and reporting on campaign performance.
· Stay updated on industry trends and emerging influencers.
· Conducting market research
· Analysing data for trends, insights, and information
· Advising multiple teams on branding strategy
· Communicating with marketing teams to ensure brand alignment
· Managing projects through various stages of development
· Managing budgets to support branding efforts
· Maintaining relationships with company stakeholders
Desired Qualifications and skillset:
· Bachelor's degree in Marketing, Communications, or a related field.
· 3 to 5 years of experience in brand marketing and social media marketing.
· Strong passion for influencer marketing and social media.
· Excellent communication and interpersonal skills.
· Creative mindset and the ability to think outside the box.
Strong execution skills to ensure on-time execution of marketing campaigns.
· Basic understanding of social media platforms.
Job Type: Full-time
Pay: ₹35,000.00 - ₹40,000.00 per month
Benefits:
Health insurance
Provident Fund
Schedule:
Day shift
Experience:
total work: 5 years (Required)
Work Location: In person"
Lilly,LCCI Editor – Medical Affairs,Bengaluru,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
Organization Background
Scientific data and information are core assets of Lilly. Providing balanced, objective, and accurate information to regulators, the scientific community, health care professionals (HCPs), payers, and patients in a consistent and timely fashion across the entire drug development lifecycle is fundamental to Lilly."
